Name,Author,Genre,Price,Reviews,Year,User Rating
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,Non Fiction,17,2663.0,2013,4.8
The Very Hungry Caterpillar,Eric Carle,Fiction,5,19546.0,2013,4.9
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,Non Fiction,15,7034.0,2013,4.7
To Kill a Mockingbird,Harper Lee,Fiction,0,26234.0,2013,4.8
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,Non Fiction,6,7497.0,2013,4.4
Wonder,R. J. Palacio,Fiction,9,21625.0,2013,4.8
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,Fiction,30,19735.0,2014,4.7
All the Light We Cannot See,Anthony Doerr,Fiction,14,36348.0,2014,4.6
Capital in the Twenty First Century,Thomas Piketty,Non Fiction,28,2884.0,2014,4.5
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,Non Fiction,105,6679.0,2014,4.5
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,Fiction,22,6540.0,2014,4.8
Divergent,Veronica Roth,Fiction,15,27098.0,2014,4.6
Divergent / Insurgent,Veronica Roth,Fiction,6,17684.0,2014,4.5
First 100 Words,Roger Priddy,Non Fiction,4,17323.0,2014,4.7
Frozen (Little Golden Book),RH Disney,Fiction,0,3642.0,2014,4.7
Gone Girl,Gillian Flynn,Fiction,9,57271.0,2014,4.0
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,Non Fiction,10,5972.0,2014,4.6
How to Win Friends & Influence People,Dale Carnegie,Non Fiction,11,25001.0,2014,4.7
Humans of New York,Brandon Stanton,Non Fiction,15,3490.0,2014,4.8
If I Stay,Gayle Forman,Fiction,9,7153.0,2014,4.3
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,Non Fiction,8,19576.0,2014,4.9
JOURNEY TO THE ICE P,RH Disney,Fiction,0,978.0,2014,4.6
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,Non Fiction,6,10927.0,2014,4.6
